type,code,allegation
CA,01,8(a)(1)
CA,05,8(a)(1)(2)
CA,09,8(a)(1)(3)
CA,13,8(a)(1)(2)(3)
CA,17,8(a)(1)(4)
CA,21,8(a)(1)(2)(4)
CA,25,8(a)(1)(3)(4)
CA,29,8(a)(1)(2)(3)(4)
CA,33,8(a)(1)(5)
CA,37,8(a)(1)(2)(5)
CA,41,8(a)(1)(3)(5)
CA,45,8(a)(1)(2)(3)(5)
CA,49,8(a)(1)(4)(5)
CA,53,8(a)(1)(2)(4)(5)
CA,57,8(a)(1)(3)(4)(5)
CA,61,8(a)(1)(2)(3)(4)(5)
CB,01,8(b)(1)
CB,04,8(b)(2)
CB,05,8(b)(1)(2)
CB,08,8(b)(3)
CB,09,8(b)(1)(3)
CB,12,8(b)(2)(3)
CB,13,8(b)(1)(2)(3)
CB,16,8(b)(5)
CB,17,8(b)(1)(5)
CB,20,8(b)(2)(5)
CB,21,8(b)(1)(2)(5)
CB,24,8(b)(3)(5)
CB,25,8(b)(1)(3)(5)
CB,28,8(b)(2)(3)(5)
CB,29,8(b)(1)(2)(3)(5)
CB,32,8(b)(6)
CB,33,8(b)(1)(6)
CB,36,8(b)(2)(6)
CB,37,8(b)(1)(2)(6)
CB,40,8(b)(3)(6)
CB,41,8(b)(1)(3)(6)
CB,44,8(b)(2)(3)(6)
CB,45,8(b)(1)(2)(3)(6)
CB,48,8(b)(5)(6)
CB,49,8(b)(1)(5)(6)
CB,52,8(b)(2)(5)(6)
CB,53,8(b)(1)(2)(5)(6)
CB,56,8(b)(3)(5)(6)
CB,57,8(b)(1)(3)(5)(6)
CB,60,8(b)(2)(3)(5)(6)
CB,61,8(b)(1)(2)(3)(5)(6)
CC,01,8(b)(4)(A)
CC,08,8(b)(4)(B)
CC,09,8(b)(4)(A)(B)
CC,16,8(b)(4)(C)
CC,17,8(b)(4)(A)(C)
CC,24,8(b)(4)(B)(C)
CC,25,8(b)(4)(A)(B)(C)
CD,32,8(b)(4)(D)
CE,32,8(e)
CG,32,8(g)
CP,01,8(b)(7)(A)
CP,02,8(b)(7)(B)
CP,03,8(b)(7)(A)(B)
CP,04,8(b)(7)(c)
CP,05,8(b)(7)(A)(C)
CP,06,8(b)(7)(B)(C)
CP,07,8(b)(7)(A)(B)(C)
