alpha_state_code,numeric_state_code,county_number,county_name,resident_code,region,district,resident_office,
AL ,1,1,AUTAUGA,,10,4, ,
AL ,1,3,BALDWIN,,15,4, ,
AL ,1,5,BARBOUR,,15,4, ,
AL ,1,7,BIBB,,10,4, ,
AL ,1,9,BLOUNT,,10,4, ,
AL ,1,11,BULLOCK,,15,4, ,
AL ,1,13,BUTLER,,15,4, ,
AL ,1,15,CALHOUN,,10,4, ,
AL ,1,17,CHAMBERS,,10,4, ,
AL ,1,19,CHEROKEE,,10,4, ,
AL ,1,21,CHILTON,,10,4, ,
AL ,1,23,CHOCTAW,,15,4, ,
AL ,1,25,CLARKE,,15,4, ,
AL ,1,27,CLAY,,10,4, ,
AL ,1,29,CLEBURNE,,10,4, ,
AL ,1,31,COFFEE,,15,4, ,
AL ,1,33,COLBERT,,10,4, ,
AL ,1,35,CONECUH,,15,4, ,
AL ,1,37,COOSA,,10,4, ,
AL ,1,39,COVINGTON,,15,4, ,
AL ,1,41,CRENSHAW,,15,4, ,
AL ,1,43,CULLMAN,,10,4, ,
AL ,1,45,DALE,,15,4, ,
AL ,1,47,DALLAS,,15,4, ,
AL ,1,49,DEKALB,,10,4, ,
AL ,1,51,ELMORE,,10,4, ,
AL ,1,53,ESCAMBIA,,15,4, ,
AL ,1,55,ETOWAH,,10,4, ,
AL ,1,57,FAYETTE,,10,4, ,
AL ,1,59,FRANKLIN,,10,4, ,
AL ,1,61,GENEVA,,15,4, ,
AL ,1,63,GREENE,,10,4, ,
AL ,1,65,HALE,,10,4, ,
AL ,1,67,HENRY,,15,4,  ,
AL ,1,69,HOUSTON,,15,4,  ,
AL ,1,71,JACKSON,,10,4, ,
AL ,1,73,JEFFERSON,,10,4, ,
AL ,1,75,LAMAR,,10,4, ,
AL ,1,77,LAUDERDALE,,10,4, ,
AL ,1,79,LAWRENCE,,10,4, ,
AL ,1,81,LEE,,10,4, ,
AL ,1,83,LIMESTONE,,10,4, ,
AL ,1,85,LOWNDES,,15,4, ,
AL ,1,87,MACON,,15,4, ,
AL ,1,89,MADISON,B,10,4,BIRMINGHAM,
AL ,1,91,MARENGO,,15,4, ,
AL ,1,93,MARION,B,10,4,BIRMINGHAM,
AL ,1,95,MARSHALL,B,10,4,BIRMINGHAM,
AL ,1,97,MOBILE,,15,4, ,
AL ,1,99,MONROE,,15,4, ,
AL ,1,101,MONTGOMERY,,15,4, ,
AL ,1,103,MORGAN,B,10,4,BIRMINGHAM,
AL ,1,105,PERRY,B,10,4,BIRMINGHAM,
AL ,1,107,PICKENS,B,10,4,BIRMINGHAM,
AL ,1,109,PIKE,,15,4, ,
AL ,1,111,RANDOLPH,B,10,4,BIRMINGHAM,
AL ,1,113,RUSSELL,,15,4, ,
AL ,1,115,ST CLAIR,B,10,4,BIRMINGHAM,
AL ,1,117,SHELBY,B,10,4,BIRMINGHAM,
AL ,1,119,SUMTER,B,10,4,BIRMINGHAM,
AL ,1,121,TALLADEGA,B,10,4,BIRMINGHAM,
AL ,1,123,TALLAPOOSA,B,10,4,BIRMINGHAM,
AL ,1,125,TUSCALOOSA,B,10,4,BIRMINGHAM,
AL ,1,127,WALKER,B,10,4,BIRMINGHAM,
AL ,1,129,WASHINGTON,,15,4, ,
AL ,1,131,WILCOX,,15,4, ,
AL ,1,133,WINSTON,B,10,4,BIRMINGHAM,
AZ,2,1,APACHE,,28,5, ,
AZ,2,3,COCHISE,,28,5, ,
AZ,2,5,COCONINO,,28,5, ,
AZ,2,7,GILA,,28,5, ,
AZ,2,9,GRAHAM,,28,5, ,
AZ,2,11,GREENLEE,,28,5, ,
