code,union_name
001,"Actors and Artists of A., Associated - AAA"
002,Air Line Pilots - ALPA
003,Aluminum Workers Intl. Un. - AWU (Merged with 025)
004,Asbestos Workers; Intl. Assn. of Heat and Frost Insulators - HFIA
005,"Industrial Workers of A.; Intl. Un., Allied - AIW"
007,Atomic Trades Labor Council
009,Actors' Equity Assn. - AEA
011,Baker and Confectionery Workers; Intl. Un. of A. - BCW (Merged to form 026)
012,"Barbers, Hairdressers, Cosmetologists and Proprieters' Intl. Un. of A.; Journeymen - BHC (Merged with 241)"
013,"Bill Pasters, Billers & Distributors of the U.S. & Canada; Intl. Alliance of - BPBD (Charter Surrendered)"
015,"Boilermakers, Iron Shipbuilders, Forgers & Helpers; Intl. Brthd. of - BBF"
016,Graphic Arts; Intl. Un. of - GAIU (Merged to form 245)
017,Shoe Workers' Un.; Boot and - BSSW (Merged with 241)
020,"Brick and Clay Workers of A., United - UBCW (Merged to form 025)"
021,"Iron Workers, Intl. Assn. of Bridge Structural & Ornamental - BSOIW"
022,"Broom and Whisk Makers' Un. of A., Intl. - BWM (Disbanded)"
023,Service Employees Intl. Un. - SEIU
025,"Aluminum, Brick and Glass Workers"
026,"Bakery, Confectionery & Tobacco Wkrs, Intl. Un. of A. - BCTW"
031,Carpenters and Joiners of A.; United Brthd. of - CJA
032,"Cement, Line and Gypsum Workers Intl. Un.; United - CLGW (merged with 015)"
033,Cigar Makers; Intl. Un. of - CMIU (Merged with 241)
036,Retail Clerks Intl. Assn. - RCIA (merged with 241)
037,Coopers'; Intl. Un. of N.A. - CIU
038,Chemical Workers Un. Intl. - ICW
052,Engineers; American Federation of Technical - AFTE
053,"Distillery, Rectifying, Wine and Allied Workers; Intl. Un. of A. - DRWW (Merged with 241)"
061,Electrical Workers; Intl. Brthd. of - IBEW
062,Elevater Constructors; Intl. Un. of - IUEC
063,Engineers; Intl. Un. of Operating - IUOE
071,Fire Fighters Intl. Assn. of - IAFF
072,Firemen and Oilers; Intl. Brthd. of - IBFO
074,Fabricated Metal & Enamelware Workers; Council of
078,Peanut Shelling Workers; United - UPSW
081,Garment Workers of A.; United - UGW
082,Glass Bottle Blowers Assn. of the United States & Canada - GBBA (Merged with 150)
083,Glass Cutters League of A.; Window - WGCL (Merged with 150)
084,Glass Workers' Un. of N.A.; American Flint - AFGW
086,Government Employees; American Federation of - AFGE
087,Granite Cutters' Intl. Assn. of A.; - CGIA (Merged with 031)
088,Grain Millers; American Federation of - AFGM
101,"Leather Goods, Plastic & Nevelty Workers Un.; Intl. - LGPN"
102,"Hatters, Cap & Millinery Wkrs. Intl. Un.; United - HOMW (Merged with 563)"
103,Laborers Intl. Union of N.A. - LI
104,Horseshoers of the U.S. & Canada; Intl. Un. of Journeymen - UJH
105,Hotel & Restaurant Employees & Bartenders Intl. Un. - HREU
106,"Hebrew Actors Un., Inc. - HAU"
109,Insurance Workers Intl. Un. - IWIU
